Player,Team,draft_year,draft_round,draft_number
Sasha Danilovic,DAL,1992,2,43
Scott Brooks,NYK,Undrafted,Undrafted,Undrafted
Scott Burrell,GSW,1993,1,20
Scott Williams,PHI,Undrafted,Undrafted,Undrafted
Ruben Nembhard,POR,Undrafted,Undrafted,Undrafted
Scottie Pippen,CHI,1987,1,5
Sean Rooks,LAL,1992,2,30
Sedale Threatt,HOU,1983,6,139
Shandon Anderson,UTA,1996,2,54
Shane Heal,MIN,Undrafted,Undrafted,Undrafted
Shaquille O'Neal,LAL,1992,1,1
Shareef Abdur-Rahim,VAN,1996,1,3
Sharone Wright,TOR,1994,1,6
Shawn Bradley,DAL,1993,1,2
Shawn Kemp,SEA,1989,1,17
Jerome Williams,DET,1996,1,26
Shawnelle Scott,CLE,1994,2,43
Sean Elliott,SAS,1989,1,3
Sherman Douglas,MIL,1989,2,28
Roy Rogers,VAN,1996,1,22
Ron Harper,CHI,1986,1,8
Randolph Childress,DET,1995,1,19
Randy Brown,CHI,1991,2,31
Randy Livingston,HOU,1996,2,42
Rasheed Wallace,POR,1995,1,4
Ray Allen,MIL,1996,1,5
Ray Owes,GSW,Undrafted,Undrafted,Undrafted
Reggie Geary,CLE,1996,2,56
Reggie Jordan,MIN,Undrafted,Undrafted,Undrafted
Reggie Miller,IND,1987,1,11
Reggie Slater,TOR,Undrafted,Undrafted,Undrafted
Reggie Williams,NJN,1987,1,4
Rony Seikaly,ORL,1988,1,9
Rex Chapman,PHX,1988,1,8
Richard Manning,LAC,1993,2,40
Rick Fox,BOS,1991,1,24
Rick Mahorn,DET,1980,2,35
Ricky Pierce,CHH,1982,1,18
Rik Smits,IND,1988,1,2
Robert Horry,LAL,1992,1,11
Robert Pack,DAL,Undrafted,Undrafted,Undrafted
Robert Parish,CHI,1976,1,8
Robert Werdann,NJN,1992,2,46
Rod Strickland,WAS,1988,1,19
Rodney Rogers,LAC,1993,1,9
Rex Walters,PHI,1993,1,16
Rafael Addison,CHH,1986,2,39
Stacey Augmon,POR,1991,1,9
Stanley Roberts,LAC,1991,1,23
Tracy Moore,HOU,Undrafted,Undrafted,Undrafted
Tracy Murray,WAS,1992,1,18
Travis Best,IND,1995,1,23
Travis Knight,LAL,1996,1,29
Tyrone Corbin,ATL,1985,2,35
Tyrone Hill,CLE,1990,1,11
Tyus Edney,SAC,1995,2,47
Vernon Maxwell,SAS,1988,2,47
Vin Baker,MIL,1993,1,8
Vincent Askew,DEN,1987,2,39
Vinny Del Negro,SAS,1988,2,29
Tony Smith,CHH,1990,2,51
Vitaly Potapenko,CLE,1996,1,12
Voshon Lenard,MIA,1994,2,46
Walt Williams,TOR,1992,1,7
Walter McCarty,NYK,1996,1,19
Wayman Tisdale,PHX,1985,1,2
Wesley Person,PHX,1994,1,23
Will Perdue,SAS,1988,1,11
Willie Anderson,MIA,1988,1,10
Willie Burton,ATL,1990,1,9
Xavier McDaniel,NJN,1985,1,4
