,Player,Tm,season17_18
237,Jared Dudley,PHO,10000000.0
238,Jarell Eddie,BOS,83129.0
239,Jarell Eddie,CHI,50176.5
240,Jarell Martin,MEM,1471382.0
241,Jarrett Allen,BRK,1713720.0
242,Jarrett Jack,NYK,2328652.0
243,Jason Smith,WAS,5225000.0
244,Jason Terry,MIL,2328652.0
245,Jason Thompson,GSW,945126.0
246,Jawun Evans,LAC,815615.0
247,Jaylen Brown,BOS,4956480.0
248,Jaylen Morris,ATL,92160.0
249,Jayson Tatum,BOS,5645400.0
250,Jeff Green,CLE,2116955.0
251,Jeff Teague,MIN,19000000.0
252,Jeff Withey,DAL,1577320.0
253,Jerami Grant,OKC,1524305.0
254,Jeremy Evans,ATL,50000.0
255,Jeremy Lamb,CHO,7000000.0
256,Jeremy Lin,BRK,12000000.0
257,Jerian Grant,CHI,1713840.0
258,Jerryd Bayless,PHI,9000000.0
259,Jimmy Butler,MIN,19301070.0
260,Joakim Noah,NYK,17765000.0
261,Jodie Meeks,WAS,3290000.0
262,Joe Harris,BRK,1524305.0
263,Joe Ingles,UTA,14136364.0
264,Joe Johnson,HOU,749905.0
265,Joe Johnson,SAC,9505000.0
266,Joe Young,IND,1471382.0
267,Joel Bolomboy,MIL,22248.0
268,Joel Bolomboy,UTA,1312611.0
269,Joel Embiid,PHI,6100266.0
270,Joffrey Lauvergne,SAS,1524305.0
271,John Collins,ATL,1936920.0
272,John Henson,MIL,11422536.0
273,John Wall,WAS,18063850.0
274,Johnny O'Bryant,NYK,1524305.0
275,Jon Leuer,DET,10497319.0
276,Jonas Jerebko,UTA,4000000.0
277,Jonas Valanciunas,TOR,15460675.0
278,Jonathan Isaac,ORL,4186320.0
279,Jonathon Simmons,ORL,6300000.0
280,Jordan Bell,GSW,815615.0
281,Jordan Clarkson,CLE,11562500.0
282,Jordan Crawford,NOP,250000.0
283,Jordan Farmar,LAC,510921.0
284,Jordan Mickey,MIA,1471382.0
285,Jose Calderon,CLE,2328652.0
286,Josh Gray,PHO,92160.0
287,Josh Hart,LAL,1394520.0
288,Josh Huestis,OKC,1471382.0
289,Josh Jackson,PHO,5090040.0
290,Josh McRoberts,DAL,6021175.0
291,Josh Richardson,MIA,1471382.0
292,Josh Smith,DET,5400000.0
293,Josh Smith,NOP,2183934.0
294,Jrue Holiday,NOP,25686667.0
295,Juan Hernangomez,DEN,2076840.0
296,Julius Randle,LAL,4149242.0
297,Julyan Stone,CHO,1524305.0
298,Justin Anderson,PHI,1579440.0
299,Justin Hamilton,TOR,1000000.0
300,Justin Holiday,CHI,4615385.0
301,Justin Jackson,SAC,2365560.0
302,Justin Patton,MIN,2247480.0
303,Justise Winslow,MIA,2705040.0
304,Jusuf Nurkic,POR,2947305.0
305,K.J. McDaniels,TOR,100000.0
306,Karl-Anthony Towns,MIN,6216840.0
307,Kawhi Leonard,SAS,18868625.0
308,Kay Felder,CHI,1312611.0
309,Kelly Olynyk,MIA,10607169.0
310,Kelly Oubre,WAS,2093040.0
311,Kemba Walker,CHO,12000000.0
312,Kenneth Faried,DEN,12921348.0
313,Kent Bazemore,ATL,16910113.0
314,Kentavious Caldwell-Pope,LAL,17745894.0
315,Kevin Durant,GSW,25000000.0
316,Kevin Love,CLE,22642350.0
317,Kevin Martin,MIN,1360305.0
318,Kevon Looney,GSW,1471382.0
319,Khem Birch,ORL,815615.0
320,Khris Middleton,MIL,14100000.0
321,Klay Thompson,GSW,17826150.0
322,Kosta Koufos,SAC,8393000.0
323,Kris Dunn,CHI,4046760.0
324,Kristaps Porzingis,NYK,4503600.0
325,Kyle Anderson,SAS,2151704.0
326,Kyle Collinsworth,DAL,71080.0
327,Kyle Korver,CLE,7000000.0
328,Kyle Kuzma,LAL,1423560.0
329,Kyle Lowry,TOR,28703704.0
330,Kyle O'Quinn,NYK,4087500.0
331,Kyle Singler,OKC,4666500.0
332,Kyrie Irving,BOS,18868625.0
333,LaMarcus Aldridge,SAS,21461010.0
334,Lance Stephenson,IND,4180000.0
335,Lance Thomas,NYK,6655325.0
336,Langston Galloway,DET,6666667.0
337,Larry Drew,NOP,74159.0
338,Larry Nance,CLE,1471382.0
339,Larry Sanders,MIL,1865547.0
340,Lauri Markkanen,CHI,3821640.0
341,LeBron James,CLE,33285709.0
342,Leandro Barbosa,PHO,500000.0
343,Livio Jean-Charles,SAS,1035200.0
344,Lonzo Ball,LAL,6286560.0
345,Lou Williams,LAC,7000000.0
346,Luc Mbah a Moute,HOU,2116955.0
347,Lucas Nogueira,TOR,2947305.0
348,Luis Montero,DET,50000.0
349,Luke Babbitt,MIA,1974159.0
350,Luke Kennard,DET,2759280.0
351,Luol Deng,LAL,17190000.0
352,Malachi Richardson,TOR,1504560.0
353,Malcolm Brogdon,MIL,1312611.0
354,Malcolm Delaney,ATL,2500000.0
355,Malik Beasley,DEN,1700640.0
356,Malik Monk,CHO,2904480.0
357,Manu Ginobili,SAS,2500000.0
358,Marc Gasol,MEM,22642350.0
359,Marcin Gortat,WAS,12782609.0
360,Marco Belinelli,ATL,6306060.0
361,Marco Belinelli,PHI,776217.0
362,Marcus Georges-Hunt,MIN,1312611.0
363,Marcus Morris,BOS,5000000.0
364,Marcus Smart,BOS,4538020.0
365,Marcus Thornton,CLE,46080.0
366,Mario Chalmers,MEM,2106407.0
367,Mario Hezonja,ORL,4078320.0
368,Markelle Fultz,PHI,7026240.0
369,Markieff Morris,WAS,8000000.0
370,Marquese Chriss,PHO,3073800.0
371,Marreese Speights,ORL,2116955.0
372,Marshall Plumlee,NYK,100000.0
373,Martell Webster,WAS,830000.0
374,Marvin Williams,CHO,13168750.0
375,Mason Plumlee,DEN,14041096.0
376,Matt Barnes,SAC,2133542.0
377,Matt Williams,MIA,50000.0
378,Matthew Dellavedova,MIL,9607500.0
379,Maurice Harkless,POR,10162922.0
380,Maxi Kleber,DAL,815615.0
381,Meyers Leonard,POR,9904495.0
382,Michael Beasley,NYK,2116955.0
383,Michael Carter-Williams,CHO,2700000.0
384,Michael Gbinije,DET,500000.0
385,Michael Kidd-Gilchrist,CHO,13000000.0
386,Michael Young,WAS,50000.0
387,Mike Conley,MEM,28530608.0
388,Mike Dunleavy,ATL,1662500.0
389,Mike James,PHO,87552.0
390,Mike Muscala,ATL,5000000.0
391,Mike Scott,WAS,1709538.0
392,Miles Plumlee,ATL,12500000.0
393,Milos Teodosic,LAC,6000000.0
