,players,teams,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
3150,Keith Tower,MIL,27.0,210.82,113.398,5.0,1.4,1.8,0.2,5.6,0.028999999999999998,0.106,0.087,0.304,0.024
3151,Keith Van Horn,DAL,29.5,208.28,111.13004,57.5,10.05,4.15,0.95,2.9,0.063,0.15400000000000003,0.214,0.545,0.07250000000000001
3152,Keith Van Horn,MIL,28.0,208.28,108.86208,72.0,16.1,7.0,1.7,0.4,0.075,0.168,0.237,0.564,0.091
3153,Keith Van Horn,NJN,24.0,208.28000000000003,111.58363200000001,62.8,18.5,7.640000000000001,1.78,-0.9799999999999999,0.0666,0.1824,0.254,0.5216,0.09019999999999999
3154,Keith Van Horn,PHI,27.0,208.28,115.66596000000001,74.0,15.9,7.1,1.3,1.9,0.079,0.188,0.23199999999999998,0.556,0.068
3155,Kelan Martin,MIN,24.0,195.58,104.32616,31.0,6.4,3.1,0.7,-1.7,0.021,0.154,0.171,0.506,0.071
3156,Keldon Johnson,SAS,20.0,195.58,99.79024,7.0,4.7,1.6,0.6,16.3,0.033,0.136,0.22699999999999998,0.579,0.1
3157,Kelenna Azubuike,DAL,28.0,195.58,97.52228000000001,3.0,2.3,0.0,0.0,-22.1,0.0,0.0,0.305,0.43799999999999994,0.0
3158,Kelenna Azubuike,GSW,24.5,195.58,99.79024,51.25,10.975,3.975,1.0750000000000002,-5.050000000000001,0.051750000000000004,0.1265,0.185,0.5727500000000001,0.06925
3159,Kelly McCarty,DEN,23.0,200.66,90.7184,2.0,2.0,1.5,0.0,6.4,0.33299999999999996,0.071,0.38799999999999996,0.667,0.0
3160,Kelly Olynyk,BOS,24.5,213.36,107.95489599999999,69.5,9.5,4.7,1.7,1.8,0.07225,0.18025,0.202,0.567,0.129
3161,Kelly Olynyk,MIA,27.666666666666668,212.51333333333332,109.61806666666666,70.66666666666667,9.799999999999999,4.966666666666667,2.066666666666667,3.3333333333333335,0.041666666666666664,0.18433333333333332,0.18233333333333335,0.6223333333333333,0.141
3162,Kelly Oubre Jr.,PHX,23.5,200.66,92.532768,62.5,16.95,5.550000000000001,1.35,-2.9,0.0345,0.1385,0.22099999999999997,0.5555000000000001,0.0665
3163,Kelly Oubre Jr.,WAS,21.0,200.66,92.98635999999999,74.33333333333333,7.266666666666667,3.3000000000000003,0.6666666666666666,-1.3,0.036333333333333336,0.15033333333333335,0.16933333333333334,0.519,0.046000000000000006
3164,Kelvin Cato,DET,31.0,210.82,124.7378,27.0,3.6,2.6,0.1,-8.5,0.071,0.18,0.166,0.493,0.022000000000000002
3165,Kelvin Cato,HOU,27.0,210.82,119.294696,63.4,6.12,5.9399999999999995,0.4800000000000001,1.44,0.1014,0.2076,0.133,0.5618000000000001,0.035
3166,Kelvin Cato,NYK,32.0,210.82,124.7378,18.0,1.2,1.7,0.0,-3.4,0.121,0.209,0.159,0.40299999999999997,0.0
