Player,teams,PER
Channing Frye,LAL,10.2
Channing Frye,TOT,13.1
Charles Cooke,NOP,-5.1
Cheick Diallo,NOP,17.0
Chinanu Onuaku,HOU,-3.2
Chris Boucher,GSW,-28.5
Chris McCullough,WAS,15.8
Chris Paul,HOU,24.4
Clint Capela,HOU,24.5
Cody Zeller,CHO,15.9
Cole Aldrich,MIN,6.0
Corey Brewer,LAL,8.9
Corey Brewer,OKC,14.2
Corey Brewer,TOT,11.2
Cory Joseph,IND,11.0
Courtney Lee,NYK,13.0
Cristiano Felicio,CHI,12.5
D'Angelo Russell,BRK,15.2
D.J. Augustin,ORL,15.4
D.J. Wilson,MIL,10.3
Dakari Johnson,OKC,16.4
Damian Jones,GSW,6.8
Damian Lillard,POR,25.2
Damien Wilkins,IND,4.9
Damion Lee,ATL,12.0
Damyean Dotson,NYK,11.6
Daniel Hamilton,OKC,18.2
Daniel Theis,BOS,16.1
Danilo Gallinari,LAC,13.8
Danny Green,SAS,11.4
Dante Cunningham,BRK,13.8
Dante Cunningham,NOP,8.4
Dante Cunningham,TOT,10.0
Dante Exum,UTA,16.7
Danuel House,PHO,12.4
Dario Saric,PHI,15.8
Darius Miller,NOP,9.3
Darrell Arthur,DEN,8.4
Darren Collison,IND,18.8
Darrun Hilliard,SAS,3.4
David Nwaba,CHI,12.2
David Stockton,UTA,33.9
David West,GSW,20.9
Davis Bertans,SAS,14.1
Davon Reed,PHO,4.8
De'Aaron Fox,SAC,11.2
DeAndre Jordan,LAC,20.2
DeAndre Liggins,MIL,5.0
DeAndre Liggins,NOP,7.8
DeAndre Liggins,TOT,6.0
DeAndre' Bembry,ATL,7.6
DeMar DeRozan,TOR,21.0
DeMarcus Cousins,NOP,22.6
DeMarre Carroll,BRK,14.3
Dejounte Murray,SAS,15.1
Delon Wright,TOR,16.5
Demetrius Jackson,HOU,0.2
Demetrius Jackson,PHI,24.5
Demetrius Jackson,TOT,5.4
Dennis Schroder,ATL,17.3
Dennis Smith,DAL,12.8
Denzel Valentine,CHI,12.1
Derrick Favors,UTA,18.8
Derrick Jones,MIA,8.8
Derrick Jones,PHO,18.4
Derrick Jones,TOT,10.1
Derrick Rose,CLE,11.6
Derrick Rose,MIN,11.2
Derrick Rose,TOT,11.5
Derrick Walton,MIA,11.2
Derrick White,SAS,15.9
Derrick Williams,LAL,-3.2
Devin Booker,PHO,18.1
Devin Harris,DAL,13.5
Devin Harris,DEN,12.4
Devin Harris,TOT,13.0
Devin Robinson,WAS,10.5
Dewayne Dedmon,ATL,15.8
Deyonta Davis,MEM,16.6
Dillon Brooks,MEM,9.8
Dion Waiters,MIA,10.5
Dirk Nowitzki,DAL,16.7
Domantas Sabonis,IND,17.5
Donovan Mitchell,UTA,16.7
Dorian Finney-Smith,DAL,7.6
Doug McDermott,DAL,11.5
Doug McDermott,NYK,9.9
Doug McDermott,TOT,10.4
Dragan Bender,PHO,7.1
Draymond Green,GSW,16.1
Dwayne Bacon,CHO,5.8
Dwight Buycks,DET,12.8
Dwight Howard,CHO,20.5
Dwight Powell,DAL,18.8
Dwyane Wade,CLE,15.9
Dwyane Wade,MIA,13.1
Dwyane Wade,TOT,15.0
E'Twaun Moore,NOP,12.1
Ed Davis,POR,15.5
Edmond Sumner,IND,39.8
Ekpe Udoh,UTA,15.2
Elfrid Payton,ORL,18.1
Elfrid Payton,PHO,13.1
Elfrid Payton,TOT,16.5
Emeka Okafor,NOP,16.4
Emmanuel Mudiay,DEN,12.3
Emmanuel Mudiay,NYK,10.2
Emmanuel Mudiay,TOT,11.5
Enes Kanter,NYK,24.0
Eric Bledsoe,MIL,20.0
Eric Bledsoe,PHO,13.0
Eric Bledsoe,TOT,19.7
Eric Gordon,HOU,15.2
Eric Moreland,DET,13.9
Erik McCree,UTA,-8.9
Ersan Ilyasova,ATL,15.1
Ersan Ilyasova,PHI,14.6
Ersan Ilyasova,TOT,14.9
Evan Fournier,ORL,15.5
Evan Turner,POR,9.9
Frank Kaminsky,CHO,14.4
Frank Mason,SAC,13.0
Frank Ntilikina,NYK,7.0
Fred VanVleet,TOR,15.9
Furkan Korkmaz,PHI,3.4
Garrett Temple,SAC,10.2
Gary Harris,DEN,16.5
Gary Payton,LAL,11.8
Gary Payton,MIL,7.6
Gary Payton,TOT,9.8
George Hill,CLE,12.2
George Hill,SAC,14.0
George Hill,TOT,13.3
Georges Niang,UTA,9.2
Georgios Papagiannis,POR,58.1
Georgios Papagiannis,SAC,10.7
Georgios Papagiannis,TOT,12.2
Gerald Green,HOU,14.1
Gian Clavell,DAL,7.4
